"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-05-27","3.80","0.00","0.0","0.0",,"73","51",,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-05-28","2.68","0.52","0.0","0.0",,"68","56","    1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-05-29","1.57","0.00","0.0","0.0",,"82","58",,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-05-30","5.14","0.00","0.0","0.0",,"90","72",,,,,,,"    1",
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-05-31","4.03","0.00","0.0","0.0",,"90","75",,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-06-01","3.80","0.00","0.0","0.0",,"90","73",,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-06-02","6.04","0.85","0.0","0.0",,"88","69","    1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-06-03","3.36","0.87","0.0","0.0",,"78","66","    1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-06-04","4.92","0.00","0.0","0.0",,"75","57",,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-06-05","3.80","0.00","0.0","0.0",,"74","58",,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-06-06","5.14","0.13","0.0","0.0",,"70","59",,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-06-07","8.50","4.16","0.0","0.0",,"63","59","    1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-06-08","3.80","0.48","0.0","0.0",,"77","57","    1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-06-09","2.24","0.00","0.0","0.0",,"80","63",,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-06-10","5.82","1.38","0.0","0.0",,"70","62",,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-06-11","6.49","0.09","0.0","0.0",,"80","64","    1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-06-12","5.37","0.00","0.0","0.0",,"76","65",,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-06-13","6.71","1.26","0.0","0.0",,"69","55",,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-06-14","5.14","0.38","0.0","0.0",,"72","53","    1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-06-15","3.80","0.00","0.0","0.0",,"80","61",,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-06-16","3.80","0.00","0.0","0.0",,"80","65",,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-06-17","2.68","0.01","0.0","0.0",,"84","69",,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-06-18","3.58","0.20","0.0","0.0",,"84","64",,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-06-19","5.14","0.00","0.0","0.0",,"77","59","    1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-06-20","3.80","0.00","0.0","0.0",,"80","62",,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-06-21","4.92","0.00","0.0","0.0",,"82","64",,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-06-22","4.03","0.00","0.0","0.0",,"84","65",,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-06-23","4.70","0.00","0.0","0.0",,"88","70",,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-06-24","4.25","0.00","0.0","0.0",,"92","74",,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-06-25","3.36","0.00","0.0","0.0",,"91","73",,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-06-26","3.80","0.05","0.0","0.0",,"85","74",,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-06-27","4.03","0.24","0.0","0.0",,"86","73",,,,,,,,
